Age,Gender,"Location (country, city)","Educational level (e.g., undergraduate, graduate)","Stream(MEDIICAL,ENGINEERING,DESIGNING,etc.)",Reading frequency ,Average Reading Duration (minutes),"Types of content (e.g., textbooks, research papers, fiction, technical articles)","Reading preferences (e-books, PDFs, web articles)"
30,Male,Bareilly,Master's Level,Legal Studies,MONTHLY,60,Research Papers,
45,Female,Guwahati,Professional Level,Mechanical Engineering,DAILY,45,Textbooks,
21,Male,Meerut,Undergraduate/Graduate Level,Software Engineering,WEEKLY,90,Research Papers,
50,Female,Mumbai,Professional Level,Medicine,MONTHLY,60,Technical Articles,
29,Female,Kota,Master's Level,Electrical Engineering,DAILY,30,Textbooks,
37,Male,Gurgaon,Professional Level,Civil Engineering,WEEKLY,45,Technical Articles,
26,Male,Faridabad,Master's Level,Nursing,DAILY,15,Textbooks,
54,Male,Visakhapatnam,Professional Level,Chemical Engineering,WEEKLY,60,Technical Articles,
38,Male,Nashik,Professional Level,Architecture,MONTHLY,45,Research Papers,
33,Female,Vadodara,Master's Level,Mechanical Engineering,MONTHLY,30,Textbooks,
52,Female,Jaipur,Professional Level,Computer Science/Engineering,DAILY,60,Technical Articles,
27,Female,Ludhiana,Master's Level,Electrical Engineering,DAILY,15,Research Papers,
57,Female,Thane,Professional Level,Legal Studies,WEEKLY,30,Technical Articles,
35,Female,Aurangabad,Professional Level,Software Engineering,MONTHLY,90,Textbooks,
42,Female,Bhopal,Professional Level,Civil Engineering,DAILY,45,Research Papers,
25,Female,Patna,Master's Level,Chemical Engineering,WEEKLY,60,Technical Articles,
58,Female,Solapur,Professional Level,Medicine,DAILY,30,Fiction Novels,
23,Female,Allahabad,Undergraduate/Graduate Level,Mechanical Engineering,MONTHLY,15,Textbooks,
41,Female,Srinagar,Professional Level,Electrical Engineering,WEEKLY,45,Technical Articles,
34,Male,Jabalpur,Master's Level,Computer Science/Engineering,DAILY,60,News Articles,
51,Male,Dhanbad,Professional Level,Interior Design,MONTHLY,30,Textbooks,
46,Female,Navi Mumbai,Professional Level,Civil Engineering,WEEKLY,90,Research Papers,
22,Female,Varanasi,Undergraduate/Graduate Level,Legal Studies,DAILY,15,Technical Articles,
56,Female,Kolkata,Professional Level,Chemical Engineering,WEEKLY,45,Blogs,
18,Female,Amritsar,Undergraduate/Graduate Level,Software Engineering,MONTHLY,60,Textbooks,
47,Female,Moradabad,Professional Level,Mechanical Engineering,DAILY,30,Technical Articles,
55,Female,Gwalior,Professional Level,Electrical Engineering,WEEKLY,60,Textbooks,
30,Female,Pimpri-Chinchwad,Master's Level,Medicine,MONTHLY,45,Technical Articles,
19,Female,Surat,Undergraduate/Graduate Level,Civil Engineering,DAILY,15,Research Papers,
48,Female,Ghaziabad,Professional Level,Computer Science/Engineering,DAILY,30,Textbooks,
39,Female,Chandigarh,Professional Level,Architecture,WEEKLY,60,Technical Articles,
21,Female,Nagpur,Undergraduate/Graduate Level,Mechanical Engineering,MONTHLY,45,Research Papers,
44,Female,Ranchi,Professional Level,Legal Studies,DAILY,15,Technical Articles,
32,Male,Meerut,Master's Level,Software Engineering,WEEKLY,90,Textbooks,
37,Male,Kanpur,Professional Level,Electrical Engineering,DAILY,30,Research Papers,
31,Female,Pune,Master's Level,Chemical Engineering,MONTHLY,60,Technical Articles,
53,Female,Visakhapatnam,Professional Level,Civil Engineering,WEEKLY,45,Research Papers,
36,Female,Vadodara,Professional Level,Medicine,DAILY,30,Textbooks,
28,Female,Hyderabad,Master's Level,Computer Science/Engineering,MONTHLY,60,Research Papers,
54,Male,Kota,Professional Level,Nursing,DAILY,15,Technical Articles,
25,Female,Thane,Master's Level,Mechanical Engineering,WEEKLY,45,Textbooks,
50,Female,Bhopal,Professional Level,Electrical Engineering,MONTHLY,60,Technical Articles,
26,Male,Srinagar,Master's Level,Chemical Engineering,DAILY,30,Research Papers,
52,Male,Lucknow,Professional Level,Legal Studies,WEEKLY,90,Technical Articles,
35,Female,Guwahati,Professional Level,Civil Engineering,DAILY,15,Textbooks,
57,Male,Mysore,Professional Level,Software Engineering,MONTHLY,30,Research Papers,
23,Female,Aurangabad,Undergraduate/Graduate Level,Medicine,DAILY,45,Technical Articles,
49,Male,Faridabad,Professional Level,Computer Science/Engineering,MONTHLY,60,Fiction Novels,
38,Male,Agra,Professional Level,Interior Design,WEEKLY,30,Textbooks,
24,Male,Ludhiana,Undergraduate/Graduate Level,Mechanical Engineering,DAILY,60,Technical Articles,
45,Female,Chennai,Professional Level,Civil Engineering,WEEKLY,15,News Articles,
29,Male,Ahmedabad,Master's Level,Electrical Engineering,DAILY,45,Textbooks,
20,Male,Jabalpur,Undergraduate/Graduate Level,Architecture,MONTHLY,60,Research Papers,
41,Female,Gurgaon,Professional Level,Software Engineering,WEEKLY,30,Technical Articles,
18,Female,Mumbai,Undergraduate/Graduate Level,Chemical Engineering,DAILY,90,Blogs,
46,Female,Howrah,Professional Level,Computer Science/Engineering,MONTHLY,15,Textbooks,
55,Female,Delhi,Professional Level,Legal Studies,DAILY,30,Technical Articles,
33,Female,Bhopal,Master's Level,Mechanical Engineering,WEEKLY,60,Textbooks,
22,Female,Allahabad,Undergraduate/Graduate Level,Electrical Engineering,MONTHLY,45,Technical Articles,
47,Female,Surat,Professional Level,Medicine,DAILY,60,Research Papers,
34,Female,Navi Mumbai,Master's Level,Civil Engineering,WEEKLY,30,Textbooks,
51,Female,Varanasi,Professional Level,Nursing,MONTHLY,15,Technical Articles,
27,Female,Kanpur,Master's Level,Chemical Engineering,DAILY,45,Research Papers,
58,Female,Chandigarh,Professional Level,Mechanical Engineering,MONTHLY,60,Technical Articles,
43,Male,Pune,Professional Level,Software Engineering,DAILY,30,Textbooks,
32,Male,Amritsar,Master's Level,Legal Studies,WEEKLY,90,Research Papers,
53,Male,Kolkata,Professional Level,Electrical Engineering,MONTHLY,15,Technical Articles,
30,Female,Rajkot,Master's Level,Civil Engineering,WEEKLY,30,Research Papers,
25,Female,Gwalior,Master's Level,Computer Science/Engineering,DAILY,60,Textbooks,
56,Female,Dhanbad,Professional Level,Medicine,DAILY,45,Research Papers,
39,Female,Ranchi,Professional Level,Mechanical Engineering,WEEKLY,60,Technical Articles,
21,Female,Vadodara,Undergraduate/Graduate Level,Software Engineering,MONTHLY,30,Textbooks,
54,Female,Ghaziabad,Professional Level,Legal Studies,MONTHLY,15,Technical Articles,
48,Female,Patna,Professional Level,Civil Engineering,DAILY,45,Research Papers,
19,Female,Meerut,Undergraduate/Graduate Level,Chemical Engineering,WEEKLY,60,Technical Articles,
50,Female,Chennai,Professional Level,Electrical Engineering,DAILY,30,Textbooks,
26,Female,Visakhapatnam,Master's Level,Mechanical Engineering,WEEKLY,90,Research Papers,
37,Male,Jaipur,Professional Level,Nursing,MONTHLY,15,Technical Articles,
28,Female,Agra,Master's Level,Computer Science/Engineering,DAILY,30,Textbooks,
52,Female,Solapur,Professional Level,Medicine,WEEKLY,60,Technical Articles,
31,Female,Thane,Master's Level,Civil Engineering,DAILY,45,Research Papers,
40,Female,Nagpur,Professional Level,Architecture,MONTHLY,15,Fiction Novels,
36,Male,Bareilly,Professional Level,Software Engineering,WEEKLY,30,Textbooks,
44,Female,Bhopal,Professional Level,Electrical Engineering,DAILY,60,Technical Articles,
22,Female,Mysore,Undergraduate/Graduate Level,Legal Studies,MONTHLY,45,News Articles,
57,Female,Allahabad,Professional Level,Mechanical Engineering,DAILY,90,Textbooks,
29,Female,Guwahati,Master's Level,Chemical Engineering,WEEKLY,60,Research Papers,
47,Female,Mumbai,Professional Level,Civil Engineering,MONTHLY,30,Technical Articles,
38,Female,Ludhiana,Professional Level,Computer Science/Engineering,DAILY,45,Blogs,
54,Female,Aurangabad,Professional Level,Medicine,WEEKLY,15,Textbooks,
23,Female,Gurgaon,Undergraduate/Graduate Level,Electrical Engineering,DAILY,60,Technical Articles,
45,Male,Srinagar,Professional Level,Software Engineering,DAILY,45,Textbooks,
32,Male,Jabalpur,Master's Level,Mechanical Engineering,MONTHLY,30,Technical Articles,
51,Male,Kota,Professional Level,Interior Design,WEEKLY,60,Research Papers,
35,Female,Pimpri-Chinchwad,Professional Level,Legal Studies,WEEKLY,45,Textbooks,
49,Female,Faridabad,Professional Level,Civil Engineering,DAILY,15,Technical Articles,
20,Female,Hyderabad,Undergraduate/Graduate Level,Nursing,MONTHLY,90,Research Papers,
56,Female,Dhanbad,Professional Level,Chemical Engineering,WEEKLY,30,Technical Articles,
33,Female,Delhi,Master's Level,Medicine,DAILY,60,Textbooks,
58,Female,Howrah,Professional Level,Computer Science/Engineering,WEEKLY,45,Research Papers,
25,Female,Chandigarh,Master's Level,Electrical Engineering,DAILY,15,Technical Articles,
42,Male,Vadodara,Professional Level,Mechanical Engineering,MONTHLY,30,Research Papers,
24,Male,Kanpur,Undergraduate/Graduate Level,Software Engineering,DAILY,60,Textbooks,
53,Female,Nagpur,Professional Level,Civil Engineering,MONTHLY,45,Research Papers,
46,Female,Ahmedabad,Professional Level,Legal Studies,WEEKLY,90,Technical Articles,
30,Female,Gwalior,Master's Level,Mechanical Engineering,DAILY,60,Textbooks,
52,Male,Kolkata,Professional Level,Chemical Engineering,MONTHLY,30,Technical Articles,
27,Male,Bhopal,Master's Level,Electrical Engineering,DAILY,45,Textbooks,
55,Male,Patna,Professional Level,Medicine,WEEKLY,15,Technical Articles,
18,Male,Ranchi,Undergraduate/Graduate Level,Software Engineering,DAILY,60,Research Papers,
41,Male,Varanasi,Professional Level,Civil Engineering,WEEKLY,45,Textbooks,
28,Female,Visakhapatnam,Master's Level,Computer Science/Engineering,MONTHLY,30,Technical Articles,
37,Female,Mysore,Professional Level,Nursing,WEEKLY,60,Research Papers,
21,Female,Ghaziabad,Undergraduate/Graduate Level,Mechanical Engineering,DAILY,15,Technical Articles,
39,Female,Surat,Professional Level,Legal Studies,DAILY,30,Textbooks,
47,Female,Lucknow,Professional Level,Electrical Engineering,MONTHLY,90,Research Papers,
22,Female,Navi Mumbai,Undergraduate/Graduate Level,Civil Engineering,WEEKLY,45,Technical Articles,
50,Female,Chennai,Professional Level,Architecture,DAILY,60,Fiction Novels,
31,Female,Vadodara,Master's Level,Chemical Engineering,WEEKLY,30,Textbooks,
44,Female,Meerut,Professional Level,Computer Science/Engineering,DAILY,15,Technical Articles,
34,Female,Aurangabad,Master's Level,Medicine,MONTHLY,45,News Articles,
51,Female,Dhanbad,Professional Level,Software Engineering,WEEKLY,60,Textbooks,
26,Female,Rajkot,Master's Level,Mechanical Engineering,DAILY,30,Research Papers,
43,Male,Agra,Professional Level,Electrical Engineering,WEEKLY,90,Technical Articles,
29,Female,Jabalpur,Master's Level,Legal Studies,MONTHLY,15,Blogs,
54,Female,Gurgaon,Professional Level,Civil Engineering,DAILY,45,Textbooks,
36,Female,Allahabad,Professional Level,Nursing,WEEKLY,60,Technical Articles,
52,Female,Kota,Professional Level,Chemical Engineering,MONTHLY,30,Textbooks,
19,Male,Bhopal,Undergraduate/Graduate Level,Mechanical Engineering,DAILY,60,Technical Articles,
56,Male,Pune,Professional Level,Computer Science/Engineering,DAILY,45,Research Papers,
33,Male,Ludhiana,Master's Level,Medicine,WEEKLY,15,Textbooks,
48,Male,Visakhapatnam,Professional Level,Software Engineering,MONTHLY,30,Technical Articles,
25,Male,Faridabad,Master's Level,Civil Engineering,MONTHLY,60,Research Papers,
45,Male,Nagpur,Professional Level,Electrical Engineering,DAILY,45,Technical Articles,
57,Male,Gwalior,Professional Level,Legal Studies,WEEKLY,15,Textbooks,
20,Male,Thane,Undergraduate/Graduate Level,Architecture,DAILY,90,Research Papers,
55,Female,Pimpri-Chinchwad,Professional Level,Computer Science/Engineering,WEEKLY,30,Technical Articles,
38,Female,Solapur,Professional Level,Mechanical Engineering,MONTHLY,60,Research Papers,
27,Female,Kanpur,Master's Level,Chemical Engineering,DAILY,45,Textbooks,
41,Female,Kolkata,Professional Level,Civil Engineering,WEEKLY,30,Research Papers,
32,Female,Bhopal,Master's Level,Medicine,DAILY,60,Technical Articles,
23,Female,Vadodara,Undergraduate/Graduate Level,Software Engineering,MONTHLY,15,Textbooks,
58,Female,Srinagar,Professional Level,Electrical Engineering,WEEKLY,45,Technical Articles,
50,Female,Ranchi,Professional Level,Legal Studies,DAILY,60,Research Papers,
35,Female,Chandigarh,Professional Level,Mechanical Engineering,MONTHLY,30,Technical Articles,
21,Female,Varanasi,Undergraduate/Graduate Level,Computer Science/Engineering,DAILY,90,Textbooks,
54,Male,Chennai,Professional Level,Civil Engineering,WEEKLY,15,Research Papers,
49,Female,Mysore,Professional Level,Nursing,MONTHLY,30,Technical Articles,
30,Female,Guwahati,Master's Level,Chemical Engineering,DAILY,60,Fiction Novels,
22,Female,Amritsar,Undergraduate/Graduate Level,Electrical Engineering,WEEKLY,45,Textbooks,
53,Female,Lucknow,Professional Level,Medicine,DAILY,60,Technical Articles,
24,Female,Patna,Undergraduate/Graduate Level,Software Engineering,DAILY,30,News Articles,
31,Female,Ahmedabad,Master's Level,Legal Studies,WEEKLY,15,Textbooks,
46,Female,Hyderabad,Professional Level,Mechanical Engineering,MONTHLY,45,Research Papers,
37,Male,Jabalpur,Professional Level,Civil Engineering,MONTHLY,60,Technical Articles,
34,Female,Agra,Master's Level,Computer Science/Engineering,DAILY,30,Blogs,
51,Male,Gurgaon,Professional Level,Architecture,WEEKLY,90,Textbooks,
26,Female,Kota,Master's Level,Electrical Engineering,DAILY,15,Technical Articles,
47,Male,Navi Mumbai,Professional Level,Chemical Engineering,WEEKLY,30,Textbooks,
39,Female,Thane,Professional Level,Medicine,DAILY,60,Technical Articles,
28,Male,Nagpur,Master's Level,Software Engineering,MONTHLY,45,Research Papers,
43,Female,Visakhapatnam,Professional Level,Civil Engineering,DAILY,60,Textbooks,
18,Female,Ghaziabad,Undergraduate/Graduate Level,Legal Studies,WEEKLY,30,Technical Articles,
44,Female,Allahabad,Professional Level,Mechanical Engineering,DAILY,15,Research Papers,
55,Female,Meerut,Professional Level,Electrical Engineering,WEEKLY,45,Technical Articles,
36,Female,Bhopal,Professional Level,Nursing,MONTHLY,60,Textbooks,
52,Male,Pune,Professional Level,Computer Science/Engineering,DAILY,30,Research Papers,
40,Male,Dhanbad,Professional Level,Medicine,WEEKLY,90,Technical Articles,
29,Male,Surat,Master's Level,Chemical Engineering,DAILY,15,Research Papers,
56,Female,Vadodara,Professional Level,Civil Engineering,MONTHLY,30,Textbooks,
32,Female,Aurangabad,Master's Level,Software Engineering,DAILY,60,Research Papers,
20,Female,Ludhiana,Undergraduate/Graduate Level,Chemical Engineering,WEEKLY,45,Technical Articles,
57,Female,Kolkata,Professional Level,Civil Engineering,MONTHLY,60,Textbooks,
33,Female,Srinagar,Master's Level,Computer Science/Engineering,DAILY,30,Technical Articles,
48,Female,Gwalior,Professional Level,Legal Studies,MONTHLY,15,Research Papers,
25,Female,Mysore,Master's Level,Mechanical Engineering,DAILY,45,Technical Articles,
38,Male,Lucknow,Professional Level,Software Engineering,WEEKLY,60,Textbooks,
21,Male,Ranchi,Undergraduate/Graduate Level,Electrical Engineering,MONTHLY,30,Research Papers,
42,Female,Varanasi,Professional Level,Medicine,WEEKLY,90,Technical Articles,
23,Female,Allahabad,Undergraduate/Graduate Level,Mechanical Engineering,DAILY,15,Textbooks,
49,Female,Jabalpur,Professional Level,Computer Science/Engineering,DAILY,30,Technical Articles,
27,Male,Pimpri-Chinchwad,Master's Level,Architecture,WEEKLY,60,Research Papers,
53,Male,Chandigarh,Professional Level,Civil Engineering,MONTHLY,45,Fiction Novels,
41,Male,Faridabad,Professional Level,Electrical Engineering,DAILY,15,Textbooks,
24,Male,Kanpur,Undergraduate/Graduate Level,Interior Design,WEEKLY,30,Technical Articles,
31,Female,Vadodara,Master's Level,Software Engineering,DAILY,60,News Articles,
45,Female,Patna,Professional Level,Nursing,MONTHLY,45,Textbooks,
37,Female,Nagpur,Professional Level,Chemical Engineering,WEEKLY,90,Research Papers,
50,Male,Bhopal,Professional Level,Electrical Engineering,DAILY,60,Technical Articles,
30,Male,Agra,Master's Level,Mechanical Engineering,MONTHLY,30,Blogs,
22,Male,Gurgaon,Undergraduate/Graduate Level,Medicine,DAILY,45,Textbooks,
54,Female,Chennai,Professional Level,Legal Studies,WEEKLY,15,Technical Articles,
26,Female,Thane,Master's Level,Civil Engineering,MONTHLY,60,Textbooks,
56,Female,Dhanbad,Professional Level,Software Engineering,DAILY,45,Technical Articles,
19,Female,Meerut,Undergraduate/Graduate Level,Computer Science/Engineering,WEEKLY,30,Research Papers,
